id,name,enabled,method,url,headers,params,body,expected_status,expected_content,json_path,expected_json_value,extract_key,save_var_name,validate,priority
positive_post__api_user_login_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},{},200,成功,code,success,,,,
positive_post__api_user_login_2,用户登录-完整参数场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}","{""username"": ""admin"", ""password"": ""123456""}",{},200,成功,code,success,,,,
positive_post__api_user_login_3,用户登录-最小参数场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},{},200,成功,code,success,,,,
negative_post__api_user_login_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
negative_post__api_user_login_2,用户登录-参数错误,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}","{""username"": ""admin""}","{""password"": ""123456""}",400,请求错误,code,400,,,,
negative_post__api_user_login_3,用户登录-参数类型错误,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}","{""username"": ""admin"", ""password"": ""123456""}","{""username"": ""admin"", ""password"": ""123456""}",400,请求错误,code,400,,,,
boundary_post__api_user_login_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
structure_post__api_user_login_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
path_post__api_user_login_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
path_post__api_user_login_2,用户登录-错误请求,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",400,请求错误,code,请求错误,,,,
positive_get__api_user_profile_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
negative_get__api_user_profile_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
boundary_get__api_user_profile_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
boundary_get__api_user_profile_2,用户登录-异常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""invalid""}",400,请求错误,code,400,,,,
structure_get__api_user_profile_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
path_get__api_user_profile_1,用户登录-正常场景,1,POST,/api/user/login,"{""Content-Type"": ""application/json""}",{},"{""username"": ""admin"", ""password"": ""123456""}",200,成功,code,200,,,,
