id,name,enabled,method,url,headers,params,body,expected_status,expected_content,json_path,expected_json_value,extract_key,save_var_name,validate,priority
positive_post__api_address_add_1,添加地址-基本正常场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxMjN9.fake_signature""}","{""province"": ""广东省"", ""city"": ""广州市"", ""district"": ""天河区"", ""detail"": ""体育西路123号"", ""name"": ""张三"", ""phone"": ""13800138000"", ""is_default"": 0}",201,添加成功,,,,,,
positive_post__api_address_add_2,添加地址-完整参数场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxMjN9.fake_signature""}","{""province"": ""北京市"", ""city"": ""北京市"", ""district"": ""朝阳区"", ""detail"": ""三里屯路19号院"", ""name"": ""李四"", ""phone"": ""13912345678"", ""is_default"": 1}",201,添加成功,,,,,,
positive_post__api_address_add_3,添加地址-最小参数场景,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxMjN9.fake_signature""}","{""province"": ""上海市"", ""city"": ""上海市"", ""district"": ""浦东新区"", ""detail"": ""陆家嘴环路1000号"", ""name"": ""王五"", ""phone"": ""13701712345""}",201,添加成功,,,,,,
negative_post__api_address_add_1,添加地址-缺少必填参数name,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer token123""}",{},"{""city"": ""北京"", ""detail"": ""某某小区"", ""district"": ""朝阳区"", ""province"": ""北京市"", ""phone"": ""13800138000""}",400,缺少必要参数,,,,,,
negative_post__api_address_add_2,添加地址-参数类型错误is_default字符串,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer token123""}",{},"{""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""北京市"", ""city"": ""北京"", ""district"": ""朝阳区"", ""detail"": ""某某小区"", ""is_default"": ""yes""}",400,类型错误,,,,,,
negative_post__api_address_add_3,添加地址-参数值无效city为空字符串,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer token123""}",{},"{""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""北京市"", ""city"": """", ""district"": ""朝阳区"", ""detail"": ""某某小区""}",400,缺少必要参数,,,,,,
negative_post__api_address_add_4,添加地址-无效HTTP方法GET,1,GET,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer token123""}","{""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""北京市"", ""city"": ""北京"", ""district"": ""朝阳区"", ""detail"": ""某某小区""}",{},405,方法不被允许,,,,,,
negative_post__api_address_add_5,添加地址-错误Content-Type为text/plain,1,POST,/api/address/add,"{""Content-Type"": ""text/plain"", ""Authorization"": ""Bearer token123""}",{},"{""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""北京市"", ""city"": ""北京"", ""district"": ""朝阳区"", ""detail"": ""某某小区""}",415,不支持的媒体类型,,,,,,
negative_post__api_address_add_6,添加地址-缺少Authorization认证,1,POST,/api/address/add,"{""Content-Type"": ""application/json""}",{},"{""name"": ""张三"", ""phone"": ""13800138000"", ""province"": ""北京市"", ""city"": ""北京"", ""district"": ""朝阳区"", ""detail"": ""某某小区""}",401,未授权,,,,,,
boundary_post__api_address_add_1,地址边界测试-必填字段空值及多字段边界混合,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token""}",{},"{""city"": """", ""detail"": ""'"", ""district"": ""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"", ""is_default"": -1, ""name"": """", ""phone"": ""0"", ""province"": ""' OR 1=1 --""}",400,缺少必要参数,,,,,,
structure_post__api_address_add_1,JSON格式验证-无效JSON,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},{},400,格式错误,,,,,,
structure_post__api_address_add_2,JSON格式验证-不完整JSON,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},{},400,格式错误,,,,,,
structure_post__api_address_add_3,字段类型验证-字符串字段传入数字,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"":""北京"",""detail"":""海淀大街1号"",""district"":""海淀区"",""is_default"":0,""name"":123,""phone"":""13800138000"",""province"":""北京市""}",400,参数类型错误,,,,,,
structure_post__api_address_add_4,字段类型验证-数字字段传入字符串,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"":""北京"",""detail"":""海淀大街1号"",""district"":""海淀区"",""is_default"":""yes"",""name"":""张三"",""phone"":""13800138000"",""province"":""北京市""}",400,参数类型错误,,,,,,
structure_post__api_address_add_5,字段类型验证-布尔字段传入其他类型,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"":""北京"",""detail"":""海淀大街1号"",""district"":""海淀区"",""is_default"":true,""name"":""张三"",""phone"":""13800138000"",""province"":""北京市""}",400,参数类型错误,,,,,,
structure_post__api_address_add_6,必填字段验证-缺少必填字段,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"":""北京"",""detail"":""海淀大街1号"",""district"":""海淀区"",""is_default"":0,""phone"":""13800138000"",""province"":""北京市""}",400,缺少必要参数,,,,,,
structure_post__api_address_add_7,必填字段验证-必填字段为null,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"":""北京"",""detail"":""海淀大街1号"",""district"":""海淀区"",""is_default"":0,""name"":null,""phone"":""13800138000"",""province"":""北京市""}",400,缺少必要参数,,,,,,
structure_post__api_address_add_8,必填字段验证-必填字段为空值,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"":""北京"",""detail"":""海淀大街1号"",""district"":""海淀区"",""is_default"":0,""name"":"""",""phone"":""13800138000"",""province"":""北京市""}",400,缺少必要参数,,,,,,
structure_post__api_address_add_9,响应结构验证-正常添加验证结构,1,POST,/api/address/add,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_token_abc123""}",{},"{""city"":""北京"",""detail"":""海淀大街1号"",""district"":""海淀区"",""is_default"":1,""name"":""张三"",""phone"":""13800138000"",""province"":""北京市""}",201,成功,$.message,地址添加成功,,,,
boundary_post__api_address_delete_1,删除地址-综合边界测试(负数ID、空数组冗余字段、超长Authorization含XSS注入),1,POST,/api/address/delete,"{""Content-Type"": ""application/json"", ""Authorization"": ""Bearer AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA<script>alert('XSS')</script>""}",{},"{""address_id"": -1, ""redundant_items"": []}",400,无效,message,无效,,,,
path_post__api_address_delete_1,删除地址-正常删除存在的地址,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token""}","{""address_id"": 1}",200,成功,code,200,,,,
path_post__api_address_delete_2,缺少address_id-请求体为空,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token""}",{},400,缺少地址ID,,,,,,
path_post__api_address_delete_3,address_id类型错误-传递字符串,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token""}","{""address_id"": ""abc""}",400,缺少地址ID,,,,,,
path_post__api_address_delete_4,address_id不存在-返回404,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token""}","{""address_id"": 9999}",404,地址不存在或无权限删除,,,,,,
path_post__api_address_delete_5,无权限删除他人地址-返回404,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer other_user_token""}","{""address_id"": 1}",404,地址不存在或无权限删除,,,,,,
path_post__api_address_delete_6,使用错误HTTP方法GET访问,1,GET,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token""}",{},405,方法不允许,,,,,,
path_post__api_address_delete_7,访问不存在的路径-路径多级段,1,POST,/api/address/delete/extra,"{""Content-Type"": ""application/json""}","{""Authorization"": ""Bearer valid_token""}","{""address_id"": 1}",404,路径不存在,,,,,,
path_post__api_address_delete_8,缺少Authorization参数-未传递token,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}",{},"{""address_id"": 1}",400,缺少Authorization,,,,,,
path_post__api_address_delete_9,Authorization格式错误-非Bearer值,1,POST,/api/address/delete,"{""Content-Type"": ""application/json""}","{""Authorization"": ""InvalidToken""}","{""address_id"": 1}",400,token无效,,,,,,
negative_post__api_address_list_1,查询用户所有地址-缺少Authorization头,1,POST,/api/address/list,{},{},{},401,未登录或Token已过期,,,,,,
